"","at_12_1_A","at_12_2_A","at_12_3_A","at_12_4_A","at_12_5_A","at_12_6_A","at_12_7_A","at_12_8_A","at_12_9_A","at_12_10_A","at_12_11_A","at_12_12_A"
"AT1G01060",10.3176866362518,7.65600446413793,3.39993568220103,1.30679489632012,5.35534800540555,9.00846891441324,9.88520407950861,7.18594496152195,3.05035783179963,1.70774513716189,5.18535879993122,9.02459455955993
"AT1G01120",6.71990716589494,4.59135741517451,3.40701378041858,5.91999209688856,5.58896169640829,5.94697471723513,5.52492906279461,4.14434931557895,3.85372442148385,6.5603050343132,4.98680367516588,5.70994059991009
"AT1G01500",3.14960782416989,5.03653939786089,4.74579332758944,3.60562779811949,3.10787458277413,2.40851403090818,2.66073973035597,4.84109356375774,4.66932806158017,3.65578961651806,3.12017362126622,2.32892651999868
"AT1G01520",7.09905395493953,3.22519085383089,0.0875140126872394,0.660911945661349,1.43643749194383,3.65484000930864,6.1830054035133,2.9178393121183,0.567373268962583,0.776622613390406,1.86252742228798,3.97892948600732
"AT1G01580",2.90543649796114,4.11942858982887,2.19551616262647,4.72639390425741,4.97039286114738,4.74626769789086,2.01768174744488,2.23233971960781,1.3216775399436,1.07421698284458,1.01772422528275,1.51615563835548
"AT1G02460",0.180218595078219,3.24193226906681,3.08660117861665,1.70254639659161,1.50135650629828,1.16368707084272,0.771240339172131,2.53926231189865,2.69352470933319,1.80629114918062,1.08202959825448,0.755208857911016
"AT1G02640",4.9805145585182,2.07079930184146,1.33382611710866,2.81404012778048,4.33829523031079,4.52464682852135,4.71171683364834,2.82066544232957,2.27297625504196,3.60104284591069,4.44838372132379,4.94786234405098
"AT1G02820",5.61062157467262,6.82274022532964,3.57243197506495,0.886023884291739,1.54447792228178,3.42746695717397,5.79583476009707,5.77510185624237,2.64456316925726,1.18818484560739,1.87563694831732,3.73271230904077
"AT1G04770",2.18522774908311,4.19963843806768,4.40337561461475,6.00703511054232,2.97145626396991,3.42472672883331,2.6853665688894,3.6444126036494,3.55198095063703,6.24637410413882,2.32435692377086,2.27540713177741
"AT1G05260",2.49828258644439,2.99923043733233,2.82956305980716,4.57938892415028,3.77575590510878,3.83639320854368,1.2936461819815,1.80547891645547,1.3471123781409,1.58976294953187,0.537424775124273,1.0454569494678
